id,ingredientlist
0072655454422,"cooked pasta (water, enriched wheat flour [durum wheat semolina, niacin, ferrous sulfate {iron}, thiamine mononitrate, riboflavin, folic acid], soybean oil, egg white), sauce (water, parmesan cheese [part skim milk, cheese culture, salt, enzymes], soybean oil, modified corn starch, nonfat dry milk, contains 2% or less of: alfredo cheese blend [parmesan, cheddar and romano cheese from cow's milk {milk, cheese culture, salt, enzymes}, water, nonfat dry milk, salt, disodium phosphate, sodium citrate], flavorings, potassium chloride, sea salt, xanthan gum, guar gum), cooked chicken (chicken breast, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring), broccoli. Contains: egg, milk, soy, wheat."
0049100333830,"whole wheat flour, wheat flour bleached, water, wheat gluten, brown sugar, wheat bran, high fructose corn syrup, contains 2% or less of the following: crushed wheat, cracked rye, cornmeal, oats, flaked barley, cracked triticale (wheat), defatted flaxseed meal, yeast, honey, whey (milk), cultured whey (from milk), salt, dough conditioners (soy lecithin, ethoxylated mono and diglycerides, sodium stearoyl lactylate, ascorbic acid), malted barley flour, yeast nutrient (ammonium sulfate), calcium sulfate (calcium), niacin, iron (ferrous sulfate), thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid. No artificial preservatives added."
0072655001053,"cooked pasta (water, enriched wheat flour [durum wheat semolina, niacin, ferrous sulfate {iron}, thiamine mononitrate, riboflavin, folic acid], soybean oil, egg white), cooked chicken (chicken breast, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring), tomatoes, water, raisin juice concentrate, contains 2% or less of: garlic, balsamic vinegar (wine vinegar, concentrated grape must), sugar, olive oil, basil, modified corn starch, onions, garlic puree, salt, chardonnay wine, molasses, canola oil. Contains: egg, soy, wheat."
0072655001039,"cooked pasta (water, enriched wheat flour [durum wheat semolina, niacin, ferrous sulfate {iron}, thiamine mononitrate, riboflavin, folic acid], soybean oil, egg white), broccoli, cooked chicken (chicken breast, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring), water, red bell peppers and puree (red bell peppers, sugar, salt), parmesan cheese (part skim milk, cheese culture, salt, enzymes), contains 2% or less of: modified corn starch, soybean oil, nonfat dry milk, red pepper sauce (distilled vinegar, red pepper, salt), salt, flavorings, xanthan gum, guar gum. Contains: egg, milk, soy, wheat."
0071314105064,"enriched flour [unbleached wheat flour, malted barley flour, reduced iron, thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), niacin (vitamin b3), folic acid], water, resistant corn starch, yeast, wheat gluten, sugar, soybean oil, potato flakes, salt, potato flour, wheat dextrin, calcium sulfate, monocalcium phosphate, wheat starch, monoglycerides, modified whey, calcium propionate (a preservative), wheat protein, natural and artificial flavors, ethoxylated mono - and diglycerides, dextrose, vinegar, lactic acid, citric acid, ascorbic acid, soy lecithin,"
0072655001015,"cooked pasta (water, enriched wheat flour [durum wheat semolina, niacin, ferrous sulfate {iron}, thiamine mononitrate, riboflavin, folic acid], soybean oil), cooked chicken (chicken breast, water, olive oil, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], dextrose, potassium chloride, salt, sodium phosphates, flavoring), broccoli, tomatoes in puree (tomatoes, tomato puree), water, contains 2% or less of: tomato paste, parmesan cheese (part skim milk, cheese culture, salt, enzymes), onions, sugar, flavorings, garlic, salt, modified corn starch, olive oil, citric acid. Contains: milk, soy, wheat."
0024126015601,"water, whole wheat flour, enriched bleached wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, and folic acid), wheat gluten, oat fiber, cream yeast, contains 2% or less of the following: fiber base (oat flakes, cracked wheat, sunflower seeds, flax seeds, and millet), grain base (oat flour, barley flakes, cracked wheat, corn meal, wheat gluten, rye meal, millet, flax seed, wheat flour, malt, contains 2% or less of the following: salt and spices), wheat muffin base (whole wheat flour, calcium culfate, wheat starch, salt, dextrose, guar gum, lactic acid, mono-diglycerides, fumaric acid, ethoxylated mono-diglycerides, contains 2% or less of the following: acetic acid, sucralose potassium iodate, azodicarbonamide, calcium peroxide and enzyme), dough enhancer (wheat flour, sodium stearoyl lactylate, guar gum, datem, mono-diglycerides, contains 2% or less of: calcium sulfate, ascorbic acid, azodicarbonamide, enzyme, and calcium peroxide), salt, soybean oil, ascorbic acid as a dough improver, fumaric acid, degerminated yellow corn flour, degerminated yellow corn meal, calcium propionate, potassium sorbate (preservative) and soy lecithin."
04043247,"fel 9, carbohydrate 4 protein 4 ingrediente water unbleached enriched wheat flour [flour, barley malt niacin vitam n b3, iron, th amin monon trate (vitamn b1), rihoflav (vitamin b2, folic acid (vitamin 89, sugar, scy fiber, yeast, whole wheat flour vheat gluten contains 2% 0 less of the following salt, molasses, dough conditioners (ethoxylated mono-and diglycer des sodium stearoyl lactylate mond-amd diglycerides ascorbic acid), wheat starch calcium propionate and sorbic ac d to retain fres-ness yeast nutrients (caldum sulfate mondcalcaum phosphate, ammonium sulfate, citric acid1, fumaric acid, hydrogenated vegetable oil soy lecithi contains soy, wheat, wergy avisory produced on the sarme bakery equipment as baked goods contaning milk eggs, ruls or seeds, therefore, this product may 09/24/2013 - 9 buns"
0072655454415,"cooked rice (water, white rice), chicken breast fritters (cooked chicken [chicken breast, water, modified corn starch, salt, potassium chloride, potassium phosphate], batter [water, bleached wheat flour, yellow corn flour, leavening {sodium bicarbonate, sodium aluminum phosphate}, whey, salt, whole eggs, guar gum], predust [enriched wheat flour {wheat flour, niacin, ferrous sulfate (iron), thiamine mononitrate, riboflavin, folic acid}, soybean oil, salt, natural flavor]), water, red and green bell peppers, sugar, onions, pineapple, pineapple juice concentrate, contains 2% or less of: rice vinegar, modified corn starch, soy sauce (water, wheat, soybeans, salt, alcohol, vinegar, lactic acid), garlic, tomato paste, salt, cooking wine (white wine, natural flavor, salt), ginger, canola oil, chili paste (red chili peppers, distilled vinegar, salt, xanthan gum), citric acid, contains: egg, milk, soy, wheat,"
0050100459512,"cooked turkey breast with binders (turkey breast, water, contains 2% or less of: isolated soy protein product [isolated soy protein, modified potato starch, corn starch, carrageenan, soy lecithin], olive oil, chicken flavor [maltodextrin, chicken broth, salt, flavors], dextrose, salt, potassium chloride, potassium and sodium phosphates, seasoning [flavorings, soy lecithin]), green beans,â gravy (water, modified corn starch, contains 2% or less of: chicken glace [chicken broth, cooked chicken, chicken fat, salt, flavorings], onions, butter [cream, salt], chicken flavor [chicken broth, salt, chicken fat], soybean oil, chardonnay wine, nonfat dry milk, sugar, potassium chloride, sea salt, canola oil, garlic, flavorings, xanthan gum, guar gum),â stuffing (water, croutons [enriched wheat flour {wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid}, yeast, sugar, wheat gluten, vinegar], celery, onions, chicken flavor [maltodextrin, chicken broth, salt, flavors], flavorings, salt), apples (citric acid and ascorbic acid to retain color), water, brown sugar, modified food starch, cream, acetylated monoglycerides, salt, alcohol, natural flavors, contains: milk, soy, wheat,"
